# JD  RA Dec
2453371.500000000     281.53334 -23.01497
2453372.500000000     282.63634 -22.93013
2453373.500000000     283.73798 -22.83768
2453374.500000000     284.83816 -22.73766
2453375.500000000     285.93675 -22.63012
2453376.500000000     287.03363 -22.51510
2453377.500000000     288.12867 -22.39265
2453378.500000000     289.22177 -22.26284
2453379.500000000     290.31278 -22.12573
2453380.500000000     291.40159 -21.98137
2453381.500000000     292.48807 -21.82985
2453382.500000000     293.57209 -21.67124
2453383.500000000     294.65354 -21.50562
2453384.500000000     295.73231 -21.33307
2453385.500000000     296.80830 -21.15368
2453386.500000000     297.88143 -20.96754
2453387.500000000     298.95161 -20.77474
2453388.500000000     300.01878 -20.57537
2453389.500000000     301.08288 -20.36953
2453390.500000000     302.14386 -20.15731
2453391.500000000     303.20166 -19.93881
2453392.500000000     304.25625 -19.71413
2453393.500000000     305.30760 -19.48336
2453394.500000000     306.35568 -19.24660
2453395.500000000     307.40046 -19.00396
2453396.500000000     308.44192 -18.75553
2453397.500000000     309.48006 -18.50142
2453398.500000000     310.51487 -18.24174
2453399.500000000     311.54634 -17.97657
2453400.500000000     312.57446 -17.70604
2453401.500000000     313.59926 -17.43023
2453402.500000000     314.62072 -17.14926
2453403.500000000     315.63885 -16.86324
2453404.500000000     316.65367 -16.57227
2453405.500000000     317.66517 -16.27647
2453406.500000000     318.67338 -15.97593
2453407.500000000     319.67828 -15.67079
2453408.500000000     320.67990 -15.36115
2453409.500000000     321.67823 -15.04714
2453410.500000000     322.67328 -14.72887
2453411.500000000     323.66505 -14.40647
2453412.500000000     324.65356 -14.08007
2453413.500000000     325.63882 -13.74978
2453414.500000000     326.62086 -13.41574
2453415.500000000     327.59972 -13.07807
2453416.500000000     328.57543 -12.73688
2453417.500000000     329.54804 -12.39229
2453418.500000000     330.51760 -12.04443
2453419.500000000     331.48417 -11.69341
2453420.500000000     332.44782 -11.33933
2453421.500000000     333.40861 -10.98232
2453422.500000000     334.36659 -10.62249
2453423.500000000     335.32186 -10.25995
2453424.500000000     336.27448  -9.89481
2453425.500000000     337.22454  -9.52717
2453426.500000000     338.17210  -9.15714
2453427.500000000     339.11726  -8.78483
2453428.500000000     340.06010  -8.41034
2453429.500000000     341.00071  -8.03378
2453430.500000000     341.93916  -7.65524
2453431.500000000     342.87555  -7.27485
2453432.500000000     343.80996  -6.89268
2453433.500000000     344.74247  -6.50886
2453434.500000000     345.67316  -6.12349
2453435.500000000     346.60211  -5.73667
2453436.500000000     347.52939  -5.34852
2453437.500000000     348.45507  -4.95915
2453438.500000000     349.37922  -4.56866
2453439.500000000     350.30190  -4.17718
2453440.500000000     351.22317  -3.78482
2453441.500000000     352.14311  -3.39170
2453442.500000000     353.06177  -2.99793
2453443.500000000     353.97922  -2.60363
2453444.500000000     354.89555  -2.20890
2453445.500000000     355.81084  -1.81385
2453446.500000000     356.72515  -1.41860
2453447.500000000     357.63858  -1.02323
2453448.500000000     358.55121  -0.62787
2453449.500000000     359.46313  -0.23260
2453450.500000000       0.37443   0.16248
2453451.500000000       1.28520   0.55725
2453452.500000000       2.19553   0.95164
2453453.500000000       3.10553   1.34554
2453454.500000000       4.01527   1.73887
2453455.500000000       4.92486   2.13152
2453456.500000000       5.83440   2.52341
2453457.500000000       6.74398   2.91445
2453458.500000000       7.65371   3.30454
2453459.500000000       8.56367   3.69361
2453460.500000000       9.47396   4.08155
2453461.500000000      10.38468   4.46828
2453462.500000000      11.29591   4.85370
2453463.500000000      12.20773   5.23773
2453464.500000000      13.12023   5.62025
2453465.500000000      14.03346   6.00118
2453466.500000000      14.94750   6.38040
2453467.500000000      15.86242   6.75783
2453468.500000000      16.77827   7.13335
2453469.500000000      17.69511   7.50685
2453470.500000000      18.61300   7.87824
2453471.500000000      19.53198   8.24742
2453472.500000000      20.45213   8.61427
2453473.500000000      21.37348   8.97870
2453474.500000000      22.29611   9.34060
2453475.500000000      23.22008   9.69990
2453476.500000000      24.14544  10.05648
2453477.500000000      25.07225  10.41026
2453478.500000000      26.00057  10.76114
2453479.500000000      26.93048  11.10903
2453480.500000000      27.86201  11.45384
2453481.500000000      28.79525  11.79548
2453482.500000000      29.73025  12.13387
2453483.500000000      30.66706  12.46892
2453484.500000000      31.60576  12.80054
2453485.500000000      32.54642  13.12866
2453486.500000000      33.48908  13.45319
2453487.500000000      34.43381  13.77404
2453488.500000000      35.38068  14.09114
2453489.500000000      36.32973  14.40440
2453490.500000000      37.28101  14.71374
2453491.500000000      38.23458  15.01907
2453492.500000000      39.19045  15.32030
2453493.500000000      40.14867  15.61734
2453494.500000000      41.10925  15.91010
2453495.500000000      42.07220  16.19848
2453496.500000000      43.03754  16.48240
2453497.500000000      44.00526  16.76176
2453498.500000000      44.97537  17.03647
2453499.500000000      45.94786  17.30644
2453500.500000000      46.92272  17.57158
2453501.500000000      47.89994  17.83180
2453502.500000000      48.87952  18.08701
2453503.500000000      49.86143  18.33714
2453504.500000000      50.84567  18.58210
2453505.500000000      51.83222  18.82182
2453506.500000000      52.82107  19.05620
2453507.500000000      53.81219  19.28519
2453508.500000000      54.80556  19.50871
2453509.500000000      55.80117  19.72668
2453510.500000000      56.79900  19.93903
2453511.500000000      57.79902  20.14571
2453512.500000000      58.80122  20.34664
2453513.500000000      59.80557  20.54176
2453514.500000000      60.81205  20.73102
2453515.500000000      61.82065  20.91434
2453516.500000000      62.83133  21.09169
2453517.500000000      63.84408  21.26299
2453518.500000000      64.85887  21.42819
2453519.500000000      65.87564  21.58723
2453520.500000000      66.89437  21.74006
2453521.500000000      67.91498  21.88662
2453522.500000000      68.93741  22.02685
2453523.500000000      69.96160  22.16070
2453524.500000000      70.98747  22.28812
2453525.500000000      72.01493  22.40905
2453526.500000000      73.04388  22.52345
2453527.500000000      74.07425  22.63127
2453528.500000000      75.10593  22.73247
2453529.500000000      76.13882  22.82701
2453530.500000000      77.17283  22.91485
2453531.500000000      78.20785  22.99597
2453532.500000000      79.24379  23.07033
2453533.500000000      80.28053  23.13790
2453534.500000000      81.31799  23.19866
2453535.500000000      82.35606  23.25260
2453536.500000000      83.39463  23.29970
2453537.500000000      84.43361  23.33994
2453538.500000000      85.47291  23.37331
2453539.500000000      86.51242  23.39980
2453540.500000000      87.55206  23.41942
2453541.500000000      88.59173  23.43216
2453542.500000000      89.63136  23.43802
2453543.500000000      90.67086  23.43700
2453544.500000000      91.71017  23.42911
2453545.500000000      92.74920  23.41436
2453546.500000000      93.78788  23.39274
2453547.500000000      94.82614  23.36428
2453548.500000000      95.86390  23.32898
2453549.500000000      96.90106  23.28685
2453550.500000000      97.93753  23.23791
2453551.500000000      98.97323  23.18218
2453552.500000000     100.00806  23.11968
2453553.500000000     101.04190  23.05043
2453554.500000000     102.07467  22.97445
2453555.500000000     103.10625  22.89179
2453556.500000000     104.13657  22.80248
2453557.500000000     105.16550  22.70654
2453558.500000000     106.19296  22.60402
2453559.500000000     107.21886  22.49497
2453560.500000000     108.24310  22.37943
2453561.500000000     109.26559  22.25744
2453562.500000000     110.28627  22.12906
2453563.500000000     111.30503  21.99435
2453564.500000000     112.32182  21.85335
2453565.500000000     113.33657  21.70613
2453566.500000000     114.34920  21.55275
